BKS,FO_BRKGA,RPD_BRKGA,Time_to_best_FO,Total_time
29437.0,29483.2,0.16,6.28,37.36
29437.0,29490.98,0.18,2.48,35.53
29437.0,29447.79,0.04,3.88,35.71
29437.0,29483.84,0.16,3.63,43.93
29437.0,29440.97,0.01,15.78,40.48
29437.0,29527.83,0.31,2.59,37.78
29437.0,29448.2,0.04,3.71,37.56
29437.0,29440.97,0.01,11.61,40.84
29437.0,29447.79,0.04,7.28,38.53
29437.0,29490.25,0.18,13.6,36.39
