BKS,FO_BRKGA,RPD_BRKGA,Time_to_best_FO,Total_time
29368.0,29481.06,0.38,3.84,37.07
29368.0,29481.06,0.38,4.0,37.85
29368.0,29435.6,0.23,32.9,35.8
29368.0,29452.2,0.29,4.27,38.5
29368.0,29497.08,0.44,4.28,36.2
29368.0,29435.6,0.23,11.92,35.83
29368.0,29452.2,0.29,5.45,36.24
29368.0,29481.06,0.38,3.83,35.92
29368.0,29481.06,0.38,3.92,37.62
29368.0,29481.06,0.38,5.64,35.81
