BKS,FO_BRKGA,RPD_BRKGA,Time_to_best_FO,Total_time
42029.0,42610.05,1.38,47.13,90.69
42029.0,42483.86,1.08,32.55,95.83
42029.0,42535.93,1.21,13.12,88.81
42029.0,42563.83,1.27,15.9,89.19
42029.0,42611.6,1.39,17.32,89.23
42029.0,42460.9,1.03,10.42,88.86
42029.0,42470.66,1.05,69.0,91.15
42029.0,42563.76,1.27,12.5,88.71
42029.0,42501.62,1.12,33.93,88.55
42029.0,42392.57,0.87,26.05,88.99
