BKS,FO_BRKGA,RPD_BRKGA,Time_to_best_FO,Total_time
11861.0,11914.32,0.45,17.93,158.72
11861.0,11928.11,0.57,25.98,161.44
11861.0,11924.66,0.54,75.99,185.01
11861.0,11914.32,0.45,24.83,166.72
11861.0,11914.35,0.45,134.28,155.79
11861.0,11921.22,0.51,62.43,154.54
11861.0,11914.31,0.45,53.8,154.53
11861.0,11921.26,0.51,155.31,155.32
11861.0,11914.31,0.45,23.03,163.03
11861.0,11914.34,0.45,51.4,155.46
